code,nom,latitude,longitude
63402,SAINT-VICTOR-MONTVIANEIX,45.93811590518903,3.61132640920902
26027,BARSAC,44.72641161157575,5.304076177947098
42205,SAINT-BONNET-LE-COURREAU,45.655161946001186,3.926111600895566
69063,COLLONGES-AU-MONT-D'OR,45.82204119141324,4.841931944597383
61502,VIDAI,48.46029122916525,0.37658145821119704
68308,SICKERT,47.79191192131076,6.985805893713708
27396,MENESQUEVILLE,49.357400464572194,1.406844150260729
54013,AMENONCOURT,48.63007040028694,6.784435207674992
41192,LES ROCHES-L'EVEQUE,47.78610854086494,0.88757317847977
58187,MYENNES,47.4543629223413,2.943703424470616
28052,BOUGLAINVAL,48.5606379302522,1.510116965614932
51558,SOULIERES,48.9038402771758,3.934401266236635
65131,CASTELVIEILH,43.28109740795723,0.201372876533492
72062,LA CHAPELLE-DU-BOIS,48.22700213133882,0.583491271516126
17109,CLAVETTE,46.14238137618907,-1.036601421282908
79356,VOULTEGON,46.91196280112844,-0.524296790050046
28286,OLLE,48.38617131755302,1.296769100037492
22391,YVIGNAC-LA-TOUR,48.34885273070685,-2.170940677619141
15266,YOLET,44.930748172620106,2.538268947804104
27205,DOUVILLE-SUR-ANDELLE,49.332919885801296,1.307567744053729
11057,CAHUZAC,43.191045714911624,1.854771958597678
21247,EPOISSES,47.503328927726,4.17120505435781
64233,GARLIN,43.55995866192795,-0.27229645760456
15136,MOURJOU,44.69741610554744,2.316590608550808
52065,BOUZANCOURT,48.31618289137131,4.950237251637322
33376,SAINT-AUBIN-DE-MEDOC,44.933349794119756,-0.748518197327328
21467,OISILLY,47.4169921769735,5.361923446416022
91645,VERRIERES-LE-BUISSON,48.750443119964764,2.251712972144151
35232,PRINCE,48.23709872574016,-1.105779288631942
77133,COURCELLES-EN-BASSEE,48.41256065214989,3.052940505560729
08154,ESTREBAY,49.82534400876408,4.345687742972739
14668,SAONNET,49.272193386176795,-0.8809812948080681
39237,FRAROZ,46.72876921472951,6.0988043078267
60494,PLAILLY,49.11136215743413,2.577677460259489
38553,VILLEFONTAINE,45.61362894543775,5.155476733550103
18224,SAINT-MARTIN-DES-CHAMPS,47.17317497097478,2.935008893234969
50219,GRATOT,49.06831043906142,-1.4945477415661401
60410,MONDESCOURT,49.60076324593958,3.109333331162529
60348,LARBROYE,49.57115457248702,2.960642909359218
34294,SATURARGUES,43.71428104823308,4.117143448242454
04233,VAUMEILH,44.290307695711675,5.956531218170149
50029,BARENTON,48.608353386758104,-0.830642245681756
14689,THURY-HARCOURT,48.98645145623318,-0.485109067101516
43047,CHADRON,44.950094906412254,3.937432618613268
91378,MAUCHAMPS,48.52726809075556,2.19718165044305
54446,RECHICOURT-LA-PETITE,48.71799714197255,6.582356754567027
32209,LELIN-LAPUJOLLE,43.70705114047678,-0.13453242841211802
41039,LA CHAPELLE-SAINT-MARTIN-EN-PLAINE,47.733059040376936,1.411922537419644
22284,SAINT-CONNAN,48.41232308700991,-3.076089405115739
52468,SEMILLY,48.2505992805529,5.464347602185679
24159,ECHOURGNAC,45.12908686822414,0.22306792075255602
08386,SAINT-LOUP-EN-CHAMPAGNE,49.45282380956044,4.215349467630385
57749,VOELFLING-LES-BOUZONVILLE,49.2929378044297,6.605273779431633
80161,CAHON,50.119698062244616,1.729016963897934
45253,PITHIVIERS-LE-VIEIL,48.17329478042164,2.206483803159161
31069,BLAGNAC,43.64218678615479,1.378869410861225
01007,AMBRONAY,46.00559137817571,5.357606607354482
18172,ORVAL,46.72202260611069,2.467200089869108
66046,CAUDIES-DE-FENOUILLEDES,42.819503386234615,2.377519854915305
51340,MAISONS-EN-CHAMPAGNE,48.73666328293103,4.467001607707995
50134,CHEVRY,48.97120320135577,-1.113874222044832
51443,POTANGIS,48.58507359288909,3.646664429916947
74036,BLUFFY,45.86550210286825,6.222273988818074
53141,LOUVIGNE,48.054719791902414,-0.6346407203387371
13021,CARRY-LE-ROUET,43.34276630210911,5.153737658167031
21574,SAINT-SEINE-SUR-VINGEANNE,47.51680292508627,5.433236665725753
67109,DURNINGEN,48.684965126682755,7.561828481795536
77243,LAGNY-SUR-MARNE,48.87307018579678,2.7097808131278462
15027,CALVINET,44.721184753147504,2.361920543508847
24303,NANTEUIL-AURIAC-DE-BOURZAC,45.38011828237888,0.287647763692338
57266,GUEBLANGE-LES-DIEUZE,48.77745484568848,6.701400226346128
14626,SAINT-MARTIN-DE-MAILLOC,49.088406569001265,0.286444688376695
72303,SAINT-MICHEL-DE-CHAVAIGNES,48.00923013017248,0.573426882370031
38540,VEUREY-VOROIZE,45.26944216560472,5.601950850235149
68177,LAUTENBACH,47.952734929532554,7.164330103132753
64241,GERONCE,43.222147965727714,-0.7101668875543321
08318,LA NEUVILLE-AUX-JOUTES,49.93314438536224,4.240874409665208
57493,MULCEY,48.80771420209458,6.66402921026935
28088,CHATEAUDUN,48.07624573342959,1.326367286249472
84113,SAINT-MARTIN-DE-LA-BRASQUE,43.7640135963936,5.539758215958521
04037,LE CAIRE,44.3744163533107,6.068757742247683
35072,CHATILLON-EN-VENDELAIS,48.22872426318765,-1.165472725147651
26335,SALLES-SOUS-BOIS,44.470792450753066,4.940082249039462
58023,BAZOCHES,47.36885875302467,3.7937752445197743
76046,AUZOUVILLE-SUR-RY,49.43743862139978,1.3096653044599371
69217,SAINT-JUST-D'AVRAY,45.99969997462079,4.452655812795404
76217,DIEPPE,49.92225039513961,1.086811684487205
52009,ANDILLY-EN-BASSIGNY,47.9283690024578,5.520492530522483
39051,BIARNE,47.14544135054957,5.451510568187107
